,orig.ident,nCount_RNA,nFeature_RNA,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,n_genes,leiden,Celltype
BC04BLOOD3_85132,31,1463.5633533000946,548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,548,0,CD4Tn
BC04BLOOD3_85143,31,1559.2646505832672,655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,655,0,CD4Tn
BC04BLOOD3_85144,31,1379.2160439491272,516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,516,0,CD4Tn
BC04BLOOD3_85151,31,1634.4209010601044,658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,658,0,CD4Tn
BC04BLOOD3_85157,31,1476.9033417701721,584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,584,0,CD4Tn
BC04BLOOD3_85170,31,1458.8028402328491,565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565,0,CD4Tn
BC04BLOOD3_85171,31,1735.5372440814972,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,760,0,CD4Tn
BC04BLOOD3_85180,31,1677.2145241498947,723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,723,0,CD4Tn
BC04BLOOD3_85185,31,1449.7756292819977,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,540,0,CD4Tn
BC04BLOOD3_85186,31,1574.6075448989868,629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,629,0,CD4Tn
BC04BLOOD3_85189,31,1526.1941351890564,576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,576,0,CD4Tn
BC04BLOOD3_85194,31,1464.7624943256378,549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,549,0,CD4Tn
BC04BLOOD3_85200,31,1459.7231299877167,570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,570,0,CD4Tn
BC04BLOOD3_85205,31,1586.894240140915,662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,662,0,CD4Tn
BC04BLOOD3_85212,31,1559.7815828323364,630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,630,0,CD4Tn
BC04BLOOD3_85216,31,1519.6986937522888,607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,607,0,CD4Tn
BC04BLOOD3_85220,31,1626.5633265972137,684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,684,0,CD4Tn
